year,Province_id,Province,emp_pri,emp_sec,emp_ter,gdp_pri,gdp_sec,gdp_ter
1952,142,China,83.5,7.4,9.1,50.5,20.8,28.7
1953,142,China,83.0696,8.0275,8.9028,45.9,23.2,30.9
1954,142,China,83.1394,8.6204,8.2402,45.6,24.5,29.9
1955,142,China,83.2676,8.5677,8.1646,46.2,24.3,29.5
1956,142,China,80.563,10.722,8.7149,43.1,27.2,29.7
1957,142,China,81.2,9,9.8,40.1,29.6,30.3
1958,142,China,58.2331,26.6015,15.1654,34,36.9,29.2
1959,142,China,62.1671,20.6396,17.1933,26.5,42.6,30.9
1960,142,China,65.7496,15.8887,18.3617,23.2,44.4,32.4
1961,142,China,77.1669,11.1606,11.6725,35.8,31.9,32.3
1962,142,China,82.1,8,9.9,39,31.3,29.7
1963,142,China,82.455,7.6502,9.8949,39.9,33.1,27.1
1964,142,China,82.2072,7.8706,9.9221,38,35.3,26.6
1965,142,China,81.6,8.4,10,37.5,35.1,27.4
1966,142,China,81.5199,8.7234,9.7568,37.2,37.9,24.9
1967,142,China,81.6674,8.6357,9.6969,39.8,33.9,26.3
1968,142,China,81.6638,8.5947,9.7415,41.6,31.1,27.2
1969,142,China,81.6163,9.1196,9.2641,37.5,35.4,27.1
1970,142,China,80.8,10.2,9,34.8,40.3,24.9
1971,142,China,79.7221,11.2016,9.0764,33.6,41.9,24.4
1972,142,China,78.8838,11.9261,9.19,32.4,42.8,24.8
1973,142,China,78.7324,12.2558,9.0118,32.9,42.8,24.2
1974,142,China,78.1878,12.6094,9.2028,33.4,42.4,24.1
1975,142,China,77.2,13.5,9.3,32,45.4,22.7
1976,142,China,75.8176,14.4487,9.7337,32.4,45,22.6
1977,142,China,74.5105,14.8081,10.6814,29,46.7,24.3
1978,142,China,70.5,17.3,12.2,27.6854,47.7101,24.6045
1979,142,China,69.8,17.6,12.6,30.7033,46.9541,22.3426
1980,142,China,68.7,18.2,13.1,29.6339,48.0577,22.3084
1981,142,China,68.1,18.3,13.6,31.3156,45.9704,22.7141
1982,142,China,68.1,18.4,13.5,32.7857,44.6206,22.5937
1983,142,China,67.1,18.7,14.2,32.5681,44.2286,23.2033
1984,142,China,64,19.9,16.1,31.5397,42.931,25.5293
1985,142,China,62.4,20.8,16.8,27.9344,42.7123,29.3533
1986,142,China,60.9,21.9,17.2,26.6385,43.5144,29.8471
1987,142,China,60,22.2,17.8,26.3209,43.3183,30.3608
1988,142,China,59.3,22.4,18.3,25.2377,43.5245,31.2378
1989,142,China,60.1,21.6,18.3,24.6116,42.496,32.8924
1990,142,China,60.1,21.4,18.5,26.5843,41.0329,32.3828
1991,142,China,59.7,21.4,18.9,24.0341,41.4874,34.4785
1992,142,China,58.5,21.7,19.8,21.3289,43.1153,35.5558
1993,142,China,56.4,22.4,21.2,19.3075,46.1765,34.516
1994,142,China,54.3,22.7,23,19.4743,46.1631,34.3627
1995,142,China,52.2,23,24.8,19.5965,46.7505,33.6529
1996,142,China,50.5,23.5,26,19.3255,47.1042,33.5703
1997,142,China,49.9,23.7,26.4,17.8953,47.099,35.0057
1998,142,China,49.8,23.5,26.7,17.159,45.7976,37.0433
1999,142,China,50.1,23,26.9,16.0648,45.3599,38.5753
2000,142,China,50,22.5,27.5,14.6762,45.5361,39.7877
2001,142,China,50,22.3,27.7,13.9835,44.7934,41.2231
2002,142,China,50,21.4,28.6,13.3015,44.4506,42.2479
2003,142,China,49.1,21.6,29.3,12.349,45.6228,42.0282
2004,142,China,46.9,22.5,30.6,12.9166,45.9002,41.1831
2005,142,China,44.8,23.8,31.4,11.6415,47.0226,41.3359
2006,142,China,42.6,25.2,32.2,10.6258,47.5574,41.8168
2007,142,China,40.8,26.8,32.4,10.2462,46.8842,42.8697
2008,142,China,39.6,27.2,33.2,10.169,46.9712,42.8598
2009,142,China,38.1,27.8,34.1,9.6362,45.9571,44.4067
2010,142,China,36.7,28.7,34.6,9.3252,46.4978,44.177
2011,142,China,34.8,29.5,35.7,9.1777,46.5293,44.2931
2012,142,China,33.6,30.3,36.1,9.1137,45.423,45.4633
2013,142,China,31.4,30.1,38.5,8.9429,44.1767,46.8804
2014,142,China,29.5,29.9,40.6,8.6435,43.0856,48.2709
2015,142,China,28.3,29.3,42.4,8.387,40.8413,50.7716
2016,142,China,27.7,28.8,43.5,8.0573,39.5806,52.3621
2017,142,China,27,28.1,44.9,7.4636,39.8517,52.6847
2018,142,China,26.1,27.6,46.3,7.043,39.687,53.27
2019,142,China,25.1,27.5,47.4,7.1116,38.9725,53.9158
2020,142,China,23.6,28.7,47.7,7.6531,37.8209,54.526